Ticker,Price,DollarVol($M),SMA20,SMA50,SMA200,ATR_PCT,RVOL,RET5,RET20,RET63,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Position,High_52W_Ratio,Low_52W_Ratio,Momentum_12M,Volatility_21D,Name,Sector,Industry,MktCap($B),RevYoY,OpMarginTTM,OperatingMargins(info),ROE(info),ROA(info),EV_EBITDA,PE,PEG,FCF_Yield,PB,PS,DivYield,PayoutRatio,EPS_Growth_3Y,Revenue_Growth_3Y,EBITDA_Growth_3Y,Beta,ShortPercent,InsiderOwnership,InstitutionOwnership,CreatedAtUTC,Source
XLC,111.33,621.7,114.35499992370606,115.62484405517579,105.18417987823486,0.012150484383477165,0.8702604889954972,-0.006957441575688117,-0.031407695612255204,0.008287622462351374,26.126101920284327,-0.8416551319613177,-0.5747580062779009,-0.26689712568341684,0.07104438581834976,0.935585522596683,1.3002371877070849,0.15856862656672477,0.00864771775022704,The Communication Services Select Sector SPDR ETF Fund,,,,,,,,,,19.081467,,,,,,,,,,,,,,2025-11-17T05:57:38Z,us_all
SETM,26.15,4.82,26.15324993133545,25.524279975891112,18.834804944992065,0.037887604261146936,0.5263728519542473,0.05042190031700766,-0.033456517738342795,0.22172901513160315,51.57832842617923,0.008925310939893905,0.06146126085181407,-0.05253594991192016,0.49808070623116457,0.8841731730670244,2.242281372204859,0.5108858099626135,0.036113042586408496,Sprott Critical Materials ETF,,,,,,,,,,41.9931,,,,,,,,,,,,,,2025-11-17T05:57:38Z,us_all
XES,79.81,7.24,79.23699951171875,74.68666671752929,68.2928203201294,0.02968658314659636,0.49473858189631426,-0.001875957073491752,0.11248954467699757,0.2158184799049554,53.33723737084069,1.7478891042697313,2.0971667521334374,-0.3492776478637061,0.5544344146604571,0.9262698199765707,1.527052120403316,-0.026866609678833697,0.020897501751695458,SPDR S&P Oil & Gas Equipment & Services ETF,,,1.59,,,,,,,16.83109,,,1.7804399,,,,,,,,,,,2025-11-17T05:57:38Z,us_all
TOUS,34.09,7.44,33.890499687194826,33.73869987487793,31.481974964141845,0.008693402968436485,1.0960850829742368,0.012474072066625652,0.011572681923417871,0.023109257647540682,48.65900999128905,0.12999505279893242,0.08807675696886111,0.04191829583007131,0.6834559472577797,0.9866859885779902,1.3127190239463367,0.2898258859201617,0.006179928500403433,T. Rowe Price International Equity ETF,,,,,,,,,,17.55505,,,,,,,,,,,,,,2025-11-17T05:57:38Z,us_all
BTCW,99.9,4.42,112.56324996948243,118.28849975585938,110.0439499282837,0.04327900265518854,1.660070111952957,-0.09115717621888808,-0.11412605746476101,-0.1897152990182407,26.47941821603328,-4.174630674653059,-3.156282825471282,-1.0183478491817772,-0.04623457768323013,0.7513537641500415,1.2289334530785672,0.04970057211240997,0.0305464141700862,WisdomTree Bitcoin Fund,,,,,,,,,,,,,,,,,,,,,,,,2025-11-17T05:57:38Z,us_all
TSL,16.5,10.6,18.538449859619142,17.936179962158203,13.727399983406066,0.06859307062058222,1.303132470080745,-0.07355415526246711,-0.10374795563513262,0.24246990450114891,37.51464165441059,-0.16359627144963085,0.19221023078325492,-0.3558065022328858,-0.058717508965212974,0.7313829960372633,1.9927536874544254,0.15627186199724918,0.04183198744616409,GraniteShares 1.25x Long Tsla Daily ETF,,,,,,,,,,,,,,,0.0,,,,,,,,,2025-11-17T05:57:38Z,us_all
BEEM,1.82,1.11,2.4924999833106996,2.747699999809265,2.2128250008821486,0.11326529963932454,0.9390056717912518,-0.20175435294294797,-0.3913043322250458,-0.2834645355174228,13.103444647136783,-0.2802657585428836,-0.19588725053499997,-0.08437850800788363,0.0826543471683443,0.4183908258282634,1.3481481631923928,-0.5697399422587404,0.0447996445368568,Beam Global,Technology,Solar,0.03,-0.2674902007364295,-0.7142557400635453,-0.63138,-0.65814,-0.20011999,,,,-0.1744470138689737,0.65397054,0.96221566,0.0,0.0,-0.3779592671160238,0.4976832908953861,,1.513,0.045100003,0.08387,0.16025,2025-11-17T05:57:38Z,us_all
SCHC,45.04,16.82,45.27849979400635,45.357599868774415,40.92905321121216,0.009800812261410522,1.250435201799727,0.012362310998220272,-0.00683566855621065,0.023869042896047965,34.302348146710656,-0.08111642051421342,-0.06689504030998404,-0.014221380204229375,0.3778763771408144,0.9765828698749,1.392803759672653,0.30496733427574485,0.007517070383566687,Schwab International Small-Cap Equity ETF,,,,,,,,,,14.688209,,,,,,,,,,,,,,2025-11-17T05:57:38Z,us_all
HTD,24.55,1.47,24.708682918548583,24.45448455810547,22.927875442504885,0.014297911994254313,1.471694957772389,-0.012991114039042295,-0.009031932816068733,0.025218932738494182,43.81043885028761,0.08489847798367833,0.10186037955224174,-0.016961901568563406,0.28305124694476014,0.9799617220712961,1.2387520001416676,0.16833204877899566,0.007954327890434492,John Hancock Tax-Advantaged Dividend Income Fund,Financial Services,Asset Management,0.87,,,0.85783,0.19726999,0.029000001,,5.360262,0.4199716585441104,,0.99687326,12.939292,,0.3616,,,,0.862,0.0023999999,0.00026,0.16767,2025-11-17T05:57:38Z,us_all
TH,6.29,3.09,7.067999958992004,7.767799997329712,7.4532749819755555,0.07627754400639514,0.71869918699187,-0.018720731422096515,-0.101428576878139,-0.21863356362494324,36.76880896209185,-0.37938794665492903,-0.29877226957683617,-0.08061567707809286,0.12651072249146014,0.5791897017221023,1.2455444998582708,-0.35816328169057254,0.043807382617143266,Target Hospitality Corp.,Industrials,Specialty Business Services,0.63,-0.3146442208059502,0.00914651593089723,0.00068999996,-0.02339,0.0073900004,7.748670085817295,11.184346142857143,,0.08198679706646346,1.559633,1.9952989,0.0,0.0,-0.027402474840725333,-0.12279470580644569,,1.322,0.084300004,0.027209999,0.96428,2025-11-17T05:57:38Z,us_all
