Ticker,Name,Sector,Industry,MktCap($B),Price,DollarVol($M),RevYoY,OpMarginTTM,OperatingMargins(info),ROE(info),EV_EBITDA,PE,PEG,FCF_Yield,PB,DivYield,PayoutRatio,SMA20,SMA50,ATR_PCT,RVOL,RET5,RET20,CreatedAtUTC,Source
GDLC,Grayscale CoinDesk Crypto 5 ETF,,,0.84,53.01,13.86,,,,,,,,,,0.0,,55.96100006103516,54.40321998596191,0.0421646145016082,1.7896689552295897,0.0158076410164389,-0.005347089146184,2025-10-24T08:59:10Z,us_all
IWP,iShares Russell Mid-Cap Growth ETF,,,10.95,143.28,132.11,,,,,,33.183014,,,1.2777,0.33,,142.5640007019043,142.50230224609376,0.0176427772249943,1.437271223665302,0.0146589615962846,0.0141562855130281,2025-10-24T08:59:10Z,us_all
IHE,iShares U.S. Pharmaceuticals ETF,,,,74.84,3.13,,,,,,22.359032,,,,1.54,,74.17099952697754,71.87712188720702,0.0102695371956739,0.78956813015911,0.0088972233755679,0.0832247836847337,2025-10-24T08:59:10Z,us_all
DBMF,iMGP DBi Managed Futures Strategy ETF,,,,28.38,27.37,,,,,,,,,,4.89,,27.948449993133544,26.994702606201173,0.0147261701211206,0.350473346398316,,0.0468727903285746,2025-10-24T08:59:10Z,us_all
QEFA,SPDR MSCI EAFE StrategicFactors ETF,,,,89.04,2.77,,,,,,18.046701,,,,2.88,,88.32550086975098,87.67724044799805,0.0077361025414478,0.6937530110807772,0.0078674140030572,0.0284741131566912,2025-10-24T08:59:10Z,us_all
BRLS,Borealis Foods Inc.,Consumer Defensive,Packaged Foods,0.07,3.42,1.03,-0.0772411696420686,-0.5096437343849405,-0.46687,-53.02437,,,,-0.0676487022778048,-7.9906545,0.0,0.0,3.233400011062622,2.9473800039291382,0.1137844626379969,0.0509731232622798,0.0270270734684361,0.4430380765555053,2025-10-24T08:59:10Z,us_all
ACSG,American Century ETF Trust - American Century Small Cap Growth Insights ETF,,,,40.96,0.92,,,,,,,,,,0.0,,,,,0.0267857142857142,0.0146418452384327,,2025-10-24T08:59:10Z,us_all
APA,APA Corporation,Energy,Oil & Gas E&P,8.81,24.62,172.15,0.1761082256311148,,0.37546003,0.20436001,2.4549141588349888,8.519032,0.5875194482758621,0.1093032959239549,1.4958383,4.06,0.346,23.47675676345825,22.811645851135253,0.0444420074120977,1.5149948478562292,0.0824190863081058,0.0228281849228066,2025-10-24T08:59:10Z,us_all
FNGO,MicroSectors FANG+ Index 2X Leveraged ETN,,,,126.93,1.84,,,,,,41.962883,,,,,,125.43439903259278,121.7218800354004,0.0349276008281845,0.469127285270783,0.0388247448376866,0.0170993189420622,2025-10-24T08:59:10Z,us_all
EXPO,"Exponent, Inc.",Industrials,Engineering & Construction,3.48,68.96,23.32,0.0405167242336512,0.2046496608470082,0.12928,0.25052,26.7341909470305,34.653267,9.744348085920343,0.0363014376809094,8.141676,1.74,0.5829,67.81449928283692,69.32905044555665,0.0207884487500805,0.5948614847884576,0.0104029169886104,-0.0050497545296436,2025-10-24T08:59:10Z,us_all
