Datetime,Close,High,Low,Open,Volume
2025-06-16 00:00:00+00:00,57800,58000,57800,58000,0
2025-06-16 00:01:00+00:00,57800,57900,57700,57800,91348
2025-06-16 00:02:00+00:00,57700,57800,57700,57700,61413
2025-06-16 00:03:00+00:00,57800,57900,57700,57700,154537
2025-06-16 00:04:00+00:00,57850,57900,57800,57900,77232
2025-06-16 00:05:00+00:00,57900,57900,57800,57850,60792
2025-06-16 00:06:00+00:00,58000,58000,57800,57900,100872
2025-06-16 00:07:00+00:00,58000,58000,57900,57900,24483
2025-06-16 00:08:00+00:00,58000,58100,57900,58000,120426
2025-06-16 00:09:00+00:00,58100,58100,57900,58000,79207
2025-06-16 00:10:00+00:00,58000,58100,57900,58000,54446
2025-06-16 00:11:00+00:00,57800,58000,57700,58000,128254
2025-06-16 00:12:00+00:00,57800,57800,57700,57800,23821
2025-06-16 00:13:00+00:00,57800,57800,57700,57700,40234
2025-06-16 00:14:00+00:00,57700,57800,57600,57700,70837
2025-06-16 00:15:00+00:00,57650,57700,57600,57600,37295
2025-06-16 00:16:00+00:00,57700,57700,57600,57600,86348
2025-06-16 00:17:00+00:00,57700,57700,57600,57650,43857
2025-06-16 00:18:00+00:00,57600,57700,57600,57600,51948
2025-06-16 00:19:00+00:00,57600,57700,57600,57600,33208
2025-06-16 00:20:00+00:00,57600,57650,57500,57650,193138
2025-06-16 00:21:00+00:00,57500,57600,57500,57550,18555
2025-06-16 00:22:00+00:00,57550,57600,57500,57500,18431
2025-06-16 00:23:00+00:00,57500,57600,57400,57550,153964
2025-06-16 00:24:00+00:00,57500,57500,57400,57500,26245
2025-06-16 00:25:00+00:00,57300,57500,57300,57500,187559
2025-06-16 00:26:00+00:00,57300,57400,57250,57300,220622
2025-06-16 00:27:00+00:00,57300,57400,57100,57300,368576
2025-06-16 00:28:00+00:00,57200,57300,57200,57300,113181
2025-06-16 00:29:00+00:00,57250,57250,57200,57200,29747
2025-06-16 00:30:00+00:00,57200,57300,57200,57200,47803
2025-06-16 00:31:00+00:00,57200,57300,57200,57300,49676
2025-06-16 00:32:00+00:00,57250,57300,57200,57300,22323
2025-06-16 00:33:00+00:00,57300,57300,57200,57300,27020
2025-06-16 00:34:00+00:00,57250,57300,57200,57300,27021
2025-06-16 00:35:00+00:00,57400,57400,57250,57300,184631
2025-06-16 00:36:00+00:00,57350,57400,57300,57350,19929
2025-06-16 00:37:00+00:00,57400,57400,57300,57350,23350
2025-06-16 00:38:00+00:00,57400,57400,57300,57400,13101
2025-06-16 00:39:00+00:00,57300,57400,57300,57400,17800
2025-06-16 00:40:00+00:00,57300,57400,57300,57350,29350
2025-06-16 00:41:00+00:00,57350,57350,57300,57350,25312
2025-06-16 00:42:00+00:00,57200,57350,57200,57350,123703
2025-06-16 00:43:00+00:00,57250,57250,57200,57200,24582
2025-06-16 00:44:00+00:00,57200,57300,57200,57250,33775
2025-06-16 00:45:00+00:00,57300,57300,57200,57300,23957
